PREFERRED_AREA_MAPPING,DLD_AREA_EN_LIST,PROJECT_EN,Median price per sq-meter for 1BR apartment from 1 Jan 2026 - 28 Feb 2026,Median price per sq-meter for 2BR apartment from 1 Jan 2026 - 28 Feb 2026,Median price per sq-meter for 1BR apartment from 1 Mar 2026 - 28 May 2026,Median price per sq-meter for 2BR apartment from 1 Mar 2026 - 28 May 2026,Minimum transaction value per sq-meter for 1BR apartment from 1 Jan 2026 - 28 May 2026,Minimum transaction value per sq-meter for 2BR apartment from 1 Jan 2026 - 28 May 2026,Number of 1BR apartment transactions from 1 Jan 2026 - 28 May 2026,Number of 2BR apartment transactions from 1 Jan 2026 - 28 May 2026,Building age,Location,Builder / Developer
Business Bay,BUSINESS BAY,15 Northside,25576.81,23584.91,27546.07,,955.02,20842.47,11,2,4.0,Business Bay,Select Group
Business Bay,BUSINESS BAY,AL HABTOOR CITY,21594.27,19143.1,20271.17,19682.72,14350.37,17431.27,10,12,9.0,Business Bay,Al Habtoor Group
Business Bay,BUSINESS BAY,Dorchester Collection Dubai,,71116.12,,,,71116.12,0,1,6.0,Business Bay,DORCHESTER COLLECTION / Omniyat
Business Bay,BUSINESS BAY,Jumeirah Living Business Bay,,,,,,,0,0,5.0,Business Bay,Select Group / Jumeirah Group
Business Bay,BUSINESS BAY,Peninsula Five,27465.27,33286.22,27642.07,24950.05,2723.67,2624.5,7,9,1.0,Business Bay,Select Group
Business Bay,BUSINESS BAY,Peninsula One,31634.6,28258.66,28560.58,25777.21,28170.2,20590.98,7,6,3.0,Business Bay,Select Group
Business Bay,BUSINESS BAY,Peninsula Three,30146.62,30537.68,28032.13,26743.95,24049.04,22784.23,46,13,1.0,Business Bay,Select Group
Business Bay,BUSINESS BAY,Peninsula Two,,,,,,,0,0,2.0,Business Bay,Select Group
Business Bay,BUSINESS BAY,SKY BAY HOTEL,,,,,,,0,0,9.0,Business Bay,Rotana / Dubai Properties
Business Bay,BUSINESS BAY,SLS DUBAI,19920.23,26420.82,22511.91,,1065.98,26420.82,8,1,5.0,Business Bay,WS Atkins / SBE / DIFC Investments
Business Bay,BUSINESS BAY,THE ATRIA,17399.04,,,16107.51,16971.66,15094.07,2,2,8.0,Business Bay,Omniyat
Business Bay,BUSINESS BAY,THE BINARY BY OMNIYAT,,,,,,,0,0,4.0,Business Bay,Omniyat
Business Bay,BUSINESS BAY,THE ONE HOTEL,,,,,,,0,0,5.0,Business Bay,Ellington Properties
Business Bay,BUSINESS BAY,THE OPUS BY OMNIYAT,45531.33,,,49578.57,45531.33,49578.57,1,1,6.0,Business Bay,Omniyat
Business Bay,BUSINESS BAY,THE STERLING EAST HOUSE,19120.46,31151.15,26033.01,,19120.46,31151.15,2,1,4.0,Business Bay,Omniyat
Business Bay,BUSINESS BAY,THE STERLING WEST HOUSE,26671.77,,17268.68,21395.23,15527.7,21395.23,4,1,4.0,Business Bay,Omniyat
Business Bay,BUSINESS BAY,XL TOWER,,,,,,,0,0,7.0,Business Bay,Ellington Properties
Central Park at City Walk,CITY WALK,Celadon,30864.2,33949.23,22859.52,32868.75,19517.64,24932.65,4,8,1.0,Central Park at City Walk,Meraas
Central Park at City Walk,CITY WALK,Central Park at City Walk -Building 1,23843.59,,32192.48,26796.86,23843.59,26796.86,2,1,5.0,Central Park at City Walk,Meraas
